date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:57	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-6dc9ac725fd4121d;gz%22	https://pixydrops.com/robots.txt		(from )
15:57:57	108665/108665	U-----	200	untouched ('OK')	text/html	etag:%221a879-661584d2-3aea74554aa8e85;gz%22	https://pixydrops.com/laboix-html/index.html	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/index.html	(from )
15:57:57	6366/6366	U-----	200	untouched ('')	image/png	date:Wed,%2005%20Nov%202025%2007:56:13%20GMT	https://pixydrops.com/laboix-html/assets/images/favicons/apple-touch-icon.png	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/apple-touch-icon.png	(from https://pixydrops.com/laboix-html/index.html)
15:57:58	448/448	U-----	200	untouched ('')	image/png	date:Wed,%2005%20Nov%202025%2007:56:13%20GMT	https://pixydrops.com/laboix-html/assets/images/favicons/favicon-16x16.png	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/favicon-16x16.png	(from https://pixydrops.com/laboix-html/index.html)
15:57:58	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-6dc9ac725fd4121d;gz%22	https://pixydrops.com/laboix-html/gallery.html	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/gallery.html	(from https://pixydrops.com/laboix-html/index.html)
15:57:58	232919/232919	U-----	200	untouched ('OK')	text/css	etag:%2238dd7-658d890c-c9251b75ece835c8;gz%22	https://pixydrops.com/laboix-html/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://pixydrops.com/laboix-html/index.html)
15:57:58	11832/11832	U-----	200	untouched ('OK')	text/css	etag:%222e38-658d890c-ffbe6b06f7877c14;gz%22	https://pixydrops.com/laboix-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	(from https://pixydrops.com/laboix-html/index.html)
15:57:58	801/801	U-----	200	untouched ('')	image/png	date:Wed,%2005%20Nov%202025%2007:56:13%20GMT	https://pixydrops.com/laboix-html/assets/images/favicons/favicon-32x32.png	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/favicon-32x32.png	(from https://pixydrops.com/laboix-html/index.html)
15:57:59	263/263	U-----	200	untouched ('')	text/plain	etag:%22107-658d8e76-810d3653df6e014c;;;%22	https://pixydrops.com/laboix-html/assets/images/favicons/site.webmanifest	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/site.webmanifest	(from https://pixydrops.com/laboix-html/index.html)
15:57:59	87493/87493	U-----	200	untouched ('OK')	text/css	etag:%22155c5-658d890c-6d6f08af088fdaf7;gz%22	https://pixydrops.com/laboix-html/assets/vendors/animate/animate.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/animate/animate.min.css	(from https://pixydrops.com/laboix-html/index.html)
